claim_id,claim_type,clinical_claim,source,year,source_type,population,identifier,url,audit_note
C001,screening,"Initial eye exam after 3–5 years of T1D when age >=11 or puberty started, whichever earlier","ADA Standards of Care 2026, Section 14",2026,Guideline,Pediatric T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,Direct current recommendation
C002,screening,"After initial examination in youth with T1D, repeat dilated/comprehensive eye exam or retinal photography every 2 years; less frequent intervals may be acceptable on eye-care professional advice and risk assessment","ADA Standards of Care 2026, Section 14",2026,Guideline,Pediatric T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,Direct current recommendation
C003,management,Optimizing glycemia decreases risk or slows progression of retinopathy,"ADA Standards of Care 2026, Section 14",2026,Guideline,Pediatric T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,Direct current recommendation
C004,risk_factor,Long-term mean HbA1c is strongly associated with time to development of simplex and proliferative retinopathy,"Nordwall et al., VISS Study",2019,Observational cohort,Young people with T1D diagnosed before age 35,10.2337/dc18-1950,https://pubmed.ncbi.nlm.nih.gov/30705061/,Longitudinal HbA1c exposure evidence
C005,risk_factor,Higher HbA1c is associated with earlier retinopathy in children/adolescents,Svensson et al./pediatric cohort record,2018,Retrospective cohort,Children/adolescents with T1D,PMID 29494341,https://pubmed.ncbi.nlm.nih.gov/29494341/,Pediatric longitudinal evidence
C006,risk_factor,"HbA1c variability is associated with early retinopathy after adjustment for HbA1c, duration, BP and lipids",HbA1c variability and microvascular complications study,2016,Prospective/observational,Adolescents with T1D,PMID 27186858,https://pubmed.ncbi.nlm.nih.gov/27186858/,Directly supports temporal variability feature
C007,risk_factor,Diabetes duration is associated with retinopathy in youth with T1D,Holl et al.,1998,Clinical cohort,Children/adolescents with T1D,PMID 9602187,https://pubmed.ncbi.nlm.nih.gov/9602187/,Direct pediatric duration evidence
C008,risk_factor,"Higher HbA1c, hypertension and smoking were associated with DR in a large international cohort of children/adolescents with T1D",Wadwa et al./international cohort,2022,Cross-sectional cohort,Children/adolescents with T1D,PMID 36097824,https://pubmed.ncbi.nlm.nih.gov/36097824/,Large pediatric cohort
C009,risk_factor,"Hypertension, poor metabolic control, albuminuria, hyperlipidemia, smoking and diabetes duration confer increased retinopathy risk",ADA T1D in Children and Adolescents Position Statement,2018,Position statement,Pediatric T1D,https://doi.org/10.2337/dci18-0023,https://diabetesjournals.org/care/article-abstract/41/9/2026/40739,Historical supporting pediatric guidance; use with current 2026 guidance
C010,classification,"ICDR severity scale: No DR, Mild NPDR, Moderate NPDR, Severe NPDR, PDR with defined lesion criteria",International Clinical Diabetic Retinopathy Disease Severity Scale / ASRS guideline,2019,Clinical classification,Diabetic retinopathy,PMC8297841,https://pmc.ncbi.nlm.nih.gov/articles/PMC8297841/,Classification source
C011,technology,Retinal photography with remote reading or validated assessment/AI can be an appropriate DR screening strategy when paired with referral pathways,"ADA Standards of Care 2026, Sections 12 and 14",2026,Guideline,Diabetes / pediatric section,10.2337/dc26-s012; 10.2337/dc26-s014,https://doi.org/10.2337/dc26-s012,https://doi.org/10.2337/dc26-s014,"Supports optional retinal-image input, not our prediction engine"
