evidence_id,citation,year,source_type,population,identifier,url,claim,evidence_strength
C001,"ADA Standards of Care in Diabetes—2026, Section 14: Children and Adolescents",2026,Guideline,Children/adolescents with T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,"Initial comprehensive/dilated eye examination after 3–5 years of T1D when age >=11 years or puberty has started, whichever is earlier; repeat examination or retinal photography every 2 years after the initial exam, with interval adjustment based on clinical risk.",High
C002,"ADA Standards of Care in Diabetes—2026, Section 14: Children and Adolescents",2026,Guideline,Children/adolescents with T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,"After initial examination in youth with T1D, repeat dilated/comprehensive eye exam or retinal photography every 2 years; less frequent intervals may be acceptable on eye-care professional advice and risk assessment.",High
C003,"ADA Standards of Care in Diabetes—2026, Section 14: Children and Adolescents",2026,Guideline,Children/adolescents with T1D,10.2337/dc26-s014,https://doi.org/10.2337/dc26-s014,Optimizing glycemia is recommended to decrease retinopathy risk or slow progression.,High
C004,"Nordwall et al., VISS Study",2019,Observational cohort,Young people with T1D diagnosed before age 35,PMID 30705061,https://pubmed.ncbi.nlm.nih.gov/30705061/,Long-term mean HbA1c was strongly associated with time to onset of retinopathy and proliferative retinopathy.,High
C006,HbA1c variability and early microvascular complications in adolescents with T1D,2016,Observational study,Adolescents with T1D,PMID 27186858,https://pubmed.ncbi.nlm.nih.gov/27186858/,Greater HbA1c variability was associated with early retinopathy after adjustment for established risk factors.,Moderate
C007,Pediatric/adolescent cohort evidence for diabetes duration and retinopathy,1998,Clinical cohort,Children/adolescents with T1D,PMID 9602187,https://pubmed.ncbi.nlm.nih.gov/9602187/,Diabetes duration was associated with retinopathy in youth with T1D.,Moderate
C008,Large international pediatric T1D cohort of diabetic retinopathy risk factors,2022,Cohort,Children/adolescents with T1D,PMID 36097824,https://pubmed.ncbi.nlm.nih.gov/36097824/,"Higher HbA1c, hypertension and smoking were associated with diabetic retinopathy in a large pediatric T1D cohort.",Moderate
C009,ADA Type 1 Diabetes in Children and Adolescents Position Statement,2018,Position statement,Pediatric T1D,10.2337/dci18-0023,https://doi.org/10.2337/dci18-0023,"Poor metabolic control, hypertension, albuminuria, hyperlipidemia, smoking and diabetes duration are identified as retinopathy risk factors.",Moderate
C010,International Clinical Diabetic Retinopathy Disease Severity Scale,2019,Clinical classification,Diabetic retinopathy,PMC8297841,https://pmc.ncbi.nlm.nih.gov/articles/PMC8297841/,"Severity categories: no apparent DR, mild NPDR, moderate NPDR, severe NPDR and PDR, with defined retinal lesion criteria.",High
C011,"ADA Standards of Care in Diabetes—2026, retinal screening technology",2026,Guideline,People with diabetes,10.2337/dc26-s012,https://doi.org/10.2337/dc26-s012,Retinal photography and validated screening pathways can be used for diabetic retinopathy screening; image-based AI is an existing modality and is not the novel component of this prototype.,High
C012,"ADA Standards of Care in Diabetes—2026, Section 12: Retinopathy",2026,Guideline,People with diabetes; pediatric guidance cross-referenced,10.2337/dc26-s012,https://doi.org/10.2337/dc26-s012,"Duration of diabetes and chronic hyperglycemia are strongly related to diabetic retinopathy; glycemic, blood-pressure and lipid goals are relevant to reducing risk or slowing progression.",High
C013,Prospective adolescent T1D cohort: blood pressure and retinopathy,2008,Prospective cohort,Adolescents with T1D,PMID 18728082,https://pubmed.ncbi.nlm.nih.gov/18728082/,"Higher systolic and diastolic blood pressure predicted early retinopathy after adjustment for albumin excretion, HbA1c, duration, age and height.",High
